target_file,original_relative_path,dataset,kind,manuscript_block,rows_excluding_header,column_count,columns,sha256
raw_records/TinyMonolithicCert_prefix6_R5_900s.csv,DROBaseline/prototypes_r2_bounds/consolidate_exact.csv,TinyMonolithicCert_prefix6_R5_900s,raw_csv,Appendix tiny monolithic validation note,1,10,file;instance_id;n;L;R;status;cert_ub;cert_lb;cert_gap;cert_time,d560fe23017a617486a6d5729b530e035e6646d69515b998a7bea50f540f3816
../reproduce_large_diagnostics.py,generated by reproduce_large_diagnostics.py,LargeDiagnostics_S7,reproduction_script,Supplementary Appendix S.7 large-instance diagnostic figures,,,,83797ce1e611f53e66afbd69c81bef609947e3a76d5814d1b99e316695f63848
../large_diagnostics/README.md,generated by reproduce_large_diagnostics.py,LargeDiagnostics_S7,readme,Supplementary Appendix S.7 large-instance diagnostic figures,,,,792dda42bcd84e09c2fdb8789da92d3fb45f1c0df7ced370bc415d5905b17b80
../large_diagnostics/manifest.json,generated by reproduce_large_diagnostics.py,LargeDiagnostics_S7,file_manifest_json,Supplementary Appendix S.7 large-instance diagnostic figures,,,,b29ce752cd04aa2c8cc0048f3e70a9af9c3ac474f4ad00da5e1b89fc093ecc78
../large_diagnostics/results/large_diagnostic_summary.csv,generated by reproduce_large_diagnostics.py,LargeDiagnostics_S7,summary_csv,Supplementary Appendix S.7 large-instance diagnostic figures,3,24,case_id;n;L;instance_seed;run_seed;max_iter;repair_k;refine_policy;refine_steps;refine_evals;cache_size;mosek_threads;objective;runtime_note;ship_time;drone_time;max_active;ops_len;hat_out;hat_in;instance_file;plan_file;plan_figure;timeline_figure,eb4189ca9e22c90b7543ae723f7818c6476a32db4758fa81e1aeb5c01bd6d45a
../large_diagnostics/instances/ExampleLarge_n200_L3_seed22260128.json,generated by reproduce_large_diagnostics.py,LargeDiagnostics_S7,instance_json,Supplementary Appendix S.7 large-instance diagnostic figures,,,,a323344cc442e1afaca26e4268d2f183a00a3e48a9625794001b6cab22798229
../large_diagnostics/instances/ExampleLarge_n300_L4_seed23260128.json,generated by reproduce_large_diagnostics.py,LargeDiagnostics_S7,instance_json,Supplementary Appendix S.7 large-instance diagnostic figures,,,,faad55f4ad64ad64660d9156fbc19eebf83e9bc53f88ba7faad01e3e3cd649b3
../large_diagnostics/instances/ExampleLarge_n400_L5_seed24260128.json,generated by reproduce_large_diagnostics.py,LargeDiagnostics_S7,instance_json,Supplementary Appendix S.7 large-instance diagnostic figures,,,,8fb6d590c585640b4d7f4408a242bfa0b19f406be4092f81b7646735d4034878
../large_diagnostics/plans/ExampleLarge_n200_L3_seed22260128_plan.json,generated by reproduce_large_diagnostics.py,LargeDiagnostics_S7,plan_record_json,Supplementary Appendix S.7 large-instance diagnostic figures,,,,df06f065a91c07a11db660a345d670547d2aabe9c0fcff89c9fda4227759e607
../large_diagnostics/plans/ExampleLarge_n300_L4_seed23260128_plan.json,generated by reproduce_large_diagnostics.py,LargeDiagnostics_S7,plan_record_json,Supplementary Appendix S.7 large-instance diagnostic figures,,,,d10d0511e68a274d4ccd6c837fc8b46c663e23b0ae48e85b40e816a8809018b6
../large_diagnostics/plans/ExampleLarge_n400_L5_seed24260128_plan.json,generated by reproduce_large_diagnostics.py,LargeDiagnostics_S7,plan_record_json,Supplementary Appendix S.7 large-instance diagnostic figures,,,,f8df7b09351b43baaeab94c0c2e9d9412d2296ddb024a1f6010f08f84848e72d
reproduction_checks/pair_perimeter_lb_reproduction.csv,generated by reproduce_pair_perimeter_lb.py,PairPerimeterLB_reproduction,reproduction_check_csv,Table 5 lower-bound intervals and Supplementary Appendix S.6 pair-perimeter timing check,6,12,label;instance_id;n;L;R;strong_UB;no_order_LB;no_order_gap_pct;pair_cut_LB;pair_cut_gap_pct;pair_lb_time_s;valid,6ba97da437f02589b432c248df2dbd45cf44790ae371e2a04880745ae1a79256
reproduction_checks/table5_lower_bound_intervals.csv,derived from manuscript Table 5 and reproduce_pair_perimeter_lb.py outputs,Table5_lower_bound_intervals,reproduction_check_csv,Table 5 lower-bound intervals,5,9,instance;n;R;incumbent_J;no_order_LB;no_order_interval_pct;pair_perimeter_LB;pair_perimeter_interval_pct;source_note,5ffaf664352d24da234aae74ac195c830208b5acc0e76784d76fb2c4e20c4cc4
