source_file,instance_index,instance_id,config,run_seed,status,n_tasks,L,mode,time_total,palns_obj,final_obj,ship_time,drone_time,intensify_ran,subexp,total_time_budget,palns_share,palns_time_limit,intensify_time_limit,dro_enabled,eps_sortie,hat_out,hat_in,dro_clipped_out,dro_clipped_in,mc_samples,mc_seed,mc_dist,mc_corr,mc_R_tol,mc_time,mc_infeasible_rate,mc_obj_mean,mc_obj_p90,mc_obj_p95,mc_makespan_mean,mc_makespan_p90,mc_makespan_p95,mc_drone_time_mean,mc_drone_time_p90,mc_drone_time_p95,cert_time,cert_lb,cert_ub,cert_gap,cert_cuts,heur_gap_to_lb
GENERATED,3,syn_n40_L3_3,fair_budget_hybrid,12530,OK,40,3,hybrid,49.1403681000229,79298.55605638635,78454.89276752822,31.06576316718844,56.98465640735086,True,fair,60.0,0.6,36.0,24.0,1,nan,1.5,1.5,1,1,nan,nan,nan,nan,0.0001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GENERATED,3,syn_n40_L3_3,fair_budget_hybrid,14530,OK,40,3,hybrid,50.102064400096424,79357.87917275171,78659.78404735988,30.09144478719948,61.12072868693505,True,fair,60.0,0.6,36.0,24.0,1,nan,1.5,1.5,1,1,nan,nan,nan,nan,0.0001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GENERATED,4,syn_n40_L3_4,fair_budget_hybrid,10165,OK,40,3,hybrid,53.29674369993154,68411.49889264142,67715.51670924132,24.210656462726863,59.01644605023478,True,fair,60.0,0.6,36.0,24.0,1,nan,1.5,1.5,1,1,nan,nan,nan,nan,0.0001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GENERATED,4,syn_n40_L3_4,fair_budget_hybrid,12165,OK,40,3,hybrid,50.88349689997267,71151.62277380166,70356.30649016832,25.84899347109523,58.695594642903174,True,fair,60.0,0.6,36.0,24.0,1,nan,1.5,1.5,1,1,nan,nan,nan,nan,0.0001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GENERATED,4,syn_n40_L3_4,fair_budget_hybrid,14165,OK,40,3,hybrid,52.69221640005708,71739.15485569157,70974.71102383742,26.35674585502587,58.15165126731874,True,fair,60.0,0.6,36.0,24.0,1,nan,1.5,1.5,1,1,nan,nan,nan,nan,0.0001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GENERATED,0,syn_n40_L3_0,mc_nominal,11999,OK,40,3,hybrid,49.50074819999281,65259.07557502415,65083.83209617682,23.05932027797154,57.51775027472269,True,mc,60.0,0.6,36.0,24.0,0,nan,1.0,1.0,0,0,2000,24344,beta,0.3,0.0001,0.7571779999416322,0.0,88528.94604426801,89952.49087729803,90300.47357067786,31.070444105278227,31.579799646418497,31.721625880812407,79.35375792287783,80.60850640831255,80.89549195010049,nan,nan,nan,nan,nan,nan
GENERATED,0,syn_n40_L3_0,mc_nominal,13999,OK,40,3,hybrid,49.01064230001066,62881.54796918663,62573.12987812114,22.75558486345879,53.08585691164713,True,mc,60.0,0.6,36.0,24.0,0,nan,1.0,1.0,0,0,2000,26344,beta,0.3,0.0001,0.7880588000407442,0.0,84558.77548978996,85937.21216153748,86301.09586157142,30.25288577969085,30.748297711287027,30.880811862441288,73.61971036514558,74.82876858471325,75.19594829731281,nan,nan,nan,nan,nan,nan
GENERATED,0,syn_n40_L3_0,mc_nominal,15999,OK,40,3,hybrid,48.46749780001119,62840.62360556184,62706.3844012435,22.857237472482755,52.997957106717344,True,mc,60.0,0.6,36.0,24.0,0,nan,1.0,1.0,0,0,2000,28344,beta,0.3,0.0001,0.7106523000402376,0.0,84943.96010229122,86329.94111371948,86632.66894620121,30.528811265840975,31.011609820306777,31.139023405503835,73.4332910008035,74.7352517636358,75.02056530104119,nan,nan,nan,nan,nan,nan
GENERATED,1,syn_n40_L3_1,mc_nominal,11277,OK,40,3,hybrid,48.801909400033765,62089.99476059588,61938.216620770036,22.016555495697425,54.466827284632046,True,mc,60.0,0.6,36.0,24.0,0,nan,1.0,1.0,0,0,2000,23622,beta,0.3,0.0001,0.6837485999567434,0.985,83950.43238575467,85330.01914208214,85503.79626945281,29.76396929760028,30.313161096156257,30.339545555895604,74.11485462185372,75.12257785748629,75.29816838235735,nan,nan,nan,nan,nan,nan
GENERATED,1,syn_n40_L3_1,mc_nominal,13277,OK,40,3,hybrid,47.97650190000422,62163.93991554394,61866.46195937241,21.973358173698518,54.47056236463318,True,mc,60.0,0.6,36.0,24.0,0,nan,1.0,1.0,0,0,2000,25622,beta,0.3,0.0001,0.7088468000292778,0.611,84883.05488520359,86403.9217484288,86865.40175287797,30.01225222050081,30.618829657660356,30.74709457206652,75.24939135633826,76.57950390030493,76.95125613572174,nan,nan,nan,nan,nan,nan
