source_file,instance_index,instance_id,config,run_seed,status,n_tasks,L,mode,time_total,palns_obj,final_obj,ship_time,drone_time,intensify_ran
GENERATED,4,syn_n40_L3_4,hybrid_main,1683254,OK,40,3,hybrid,36.27720229997067,14334.848670861316,14275.213354700012,17.035965361232673,42.80683810787174,True
GENERATED,4,syn_n40_L3_4,hybrid_main,1691173,OK,40,3,hybrid,39.59040369995637,16043.662857355941,15980.771378640793,19.284458728404914,43.35506663820303,True
GENERATED,4,syn_n40_L3_4,hybrid_main,1699092,OK,40,3,hybrid,39.73984220001148,16003.504162558498,15892.653558962482,19.12018937400651,44.357472241645624,True
GENERATED,4,syn_n40_L3_4,hybrid_main,1707011,OK,40,3,hybrid,39.11025430000154,14969.390734204782,14939.904510257466,17.738744875326717,46.738452964640814,True
GENERATED,4,syn_n40_L3_4,hybrid_main,1714930,OK,40,3,hybrid,38.100365299964324,15921.267739552917,15871.387103309904,19.040523121916202,45.4569931963643,True
GENERATED,4,syn_n40_L3_4,hybrid_main,1722849,OK,40,3,hybrid,36.7016579999472,15946.72541245303,15880.13316212979,19.116259528963894,44.08395758305333,True
GENERATED,4,syn_n40_L3_4,hybrid_main,1730768,OK,40,3,hybrid,37.76234909996856,15991.872826750023,15971.243619774523,19.07486765494347,47.5740822447691,True
GENERATED,4,syn_n40_L3_4,hybrid_main,1738687,OK,40,3,hybrid,38.784048899949994,15987.996393642736,15871.696894017394,19.17720688781976,42.536906518645,True
GENERATED,4,syn_n40_L3_4,hybrid_main,1746606,OK,40,3,hybrid,37.06320030003553,16092.799882868525,15939.35584476007,19.35247647420117,40.71424254597689,True
GENERATED,4,syn_n40_L3_4,hybrid_main,1754525,OK,40,3,hybrid,38.733012999990024,15954.439130207797,15927.2109018573,19.08345191688867,46.13205611973714,True
GENERATED,4,syn_n40_L3_4,abl_no_dro,1762444,OK,40,3,hybrid,39.29841409996152,13849.482895587531,13829.61158542064,16.401304280324254,43.67523929078425,True
GENERATED,4,syn_n40_L3_4,abl_no_dro,1770363,OK,40,3,hybrid,37.327734099992085,14900.633237375405,14865.594728583072,17.80490661259282,43.19756483252728,True
GENERATED,4,syn_n40_L3_4,abl_no_dro,1778282,OK,40,3,hybrid,37.88277399999788,14587.516907148205,14557.676048253195,17.284441676203034,45.55270831716912,True
GENERATED,4,syn_n40_L3_4,abl_no_dro,1786201,OK,40,3,hybrid,39.53652869997313,13862.021152069086,13826.198412339516,16.40826944449481,43.42846654195455,True
GENERATED,4,syn_n40_L3_4,abl_no_dro,1794120,OK,40,3,hybrid,36.33359820005717,14736.19170694742,14687.367933485257,17.4426871966674,45.867215313848746,True
GENERATED,4,syn_n40_L3_4,abl_no_dro,1802039,OK,40,3,hybrid,34.21761549997609,13745.350609475521,13732.799435765883,16.266883397676832,43.78962535737877,True
GENERATED,4,syn_n40_L3_4,abl_no_dro,1809958,OK,40,3,hybrid,39.171899000008125,14911.076549797617,14851.31093143356,17.876957621408515,41.24550615363356,True
GENERATED,4,syn_n40_L3_4,abl_no_dro,1817877,OK,40,3,hybrid,38.82403830002295,14910.88415479008,14851.715518025856,17.88046855318768,41.1818315181456,True
GENERATED,4,syn_n40_L3_4,abl_no_dro,1825796,OK,40,3,hybrid,38.55327529995702,14884.135393934,14853.031925104246,17.87334747764889,41.37203762478799,True
GENERATED,4,syn_n40_L3_4,abl_no_dro,1833715,OK,40,3,hybrid,34.44136220001383,14848.760542041866,14772.371795570114,17.689102549469453,43.01556809908639,True
GENERATED,4,syn_n40_L3_4,abl_adjacent,1841634,OK,40,3,hybrid,41.16892629995709,17962.068447885813,17204.56723276883,21.512049110841737,30.58658284678644,True
GENERATED,4,syn_n40_L3_4,abl_adjacent,1849553,OK,40,3,hybrid,39.93003489996772,17985.793383103053,16572.96650432591,20.31854160767297,38.11600853060519,True
GENERATED,4,syn_n40_L3_4,abl_adjacent,1857472,OK,40,3,hybrid,41.61135560000548,17834.978402415516,16707.071317166727,20.548423826545665,37.02152706449934,True
GENERATED,4,syn_n40_L3_4,abl_adjacent,1865391,OK,40,3,hybrid,40.23396869999124,17748.473180683523,16235.125038124299,19.931336118250158,36.76065569819088,True
GENERATED,4,syn_n40_L3_4,abl_adjacent,1873310,OK,40,3,hybrid,39.59842190000927,17698.79476869283,16249.582188988257,19.89096461738169,38.03882074148538,True
GENERATED,4,syn_n40_L3_4,abl_adjacent,1881229,OK,40,3,hybrid,43.517817500047386,18010.984069803162,16612.83674159652,20.414978038976084,37.18866321041304,True
GENERATED,4,syn_n40_L3_4,abl_adjacent,1889148,OK,40,3,hybrid,41.49524499999825,17875.34509914032,16332.481948717932,20.08204357956238,36.31283611560416,True
GENERATED,4,syn_n40_L3_4,abl_adjacent,1897067,OK,40,3,hybrid,41.330038300016895,17823.771428617572,16318.095458032416,19.977929617823435,38.132806990424044,True
GENERATED,4,syn_n40_L3_4,abl_adjacent,1904986,OK,40,3,hybrid,38.90533079998568,17897.928756985548,16804.667876355692,20.734990186449718,35.8121496148115,True
GENERATED,4,syn_n40_L3_4,abl_adjacent,1912905,OK,40,3,hybrid,44.37801099999342,17955.70491943024,16395.722489289547,19.935320430003642,41.263776193908924,True
GENERATED,4,syn_n40_L3_4,abl_no_cache,1920824,OK,40,3,hybrid,55.021532299986575,15913.343520193277,15886.978661437706,19.057632196986606,45.535843248507234,True
GENERATED,4,syn_n40_L3_4,abl_no_cache,1928743,OK,40,3,hybrid,54.879474300018046,15487.90859518112,15426.57512412612,18.41660531003243,46.11774690290849,True
GENERATED,4,syn_n40_L3_4,abl_no_cache,1936662,OK,40,3,hybrid,54.731362399994396,14057.583997755399,13982.933815051338,16.703485281314684,41.58056725900934,True
GENERATED,4,syn_n40_L3_4,abl_no_cache,1944581,OK,40,3,hybrid,53.48316329997033,16014.15937863394,15922.15210105423,19.162381365875852,44.29617361849542,True
GENERATED,4,syn_n40_L3_4,abl_no_cache,1952500,OK,40,3,hybrid,55.46396070002811,15904.998665438596,15871.386793851023,19.040525807227507,45.45692681229691,True
GENERATED,4,syn_n40_L3_4,abl_no_cache,1960419,OK,40,3,hybrid,56.71828030003235,15923.267290752432,15888.214263727676,19.051712116295995,45.69800504301941,True
GENERATED,4,syn_n40_L3_4,abl_no_cache,1968338,OK,40,3,hybrid,54.439261199964676,15921.028474020082,15875.268176747715,19.114059988156445,43.992091018010896,True
GENERATED,4,syn_n40_L3_4,abl_no_cache,1976257,OK,40,3,hybrid,54.15501350001432,16014.644802196934,15882.22759079549,19.03170379951232,45.955706890321395,True
GENERATED,4,syn_n40_L3_4,abl_no_cache,1984176,OK,40,3,hybrid,54.807130600034725,14401.049997366466,14351.40371299159,17.138865693064712,42.778698376944476,True
GENERATED,4,syn_n40_L3_4,abl_no_cache,1992095,OK,40,3,hybrid,52.02995660004672,16011.726088093292,15927.16483435097,19.0426725843592,47.00458274518766,True
GENERATED,5,syn_n40_L3_5,palns_only,2000014,OK,40,3,palns,13.030587300017942,14025.296717989282,14025.296717989282,16.634416009105628,44.27099174743033,False
GENERATED,5,syn_n40_L3_5,palns_only,2007933,OK,40,3,palns,12.536681900033727,13961.881610343053,13961.881610343053,16.54713630289329,44.329410947802366,False
GENERATED,5,syn_n40_L3_5,palns_only,2015852,OK,40,3,palns,13.446149600029457,14087.390969683369,14087.390969683369,16.69808400693303,44.68079898524569,False
GENERATED,5,syn_n40_L3_5,palns_only,2023771,OK,40,3,palns,12.932471599953715,13532.004780570278,13532.004780570278,16.04325400783697,42.844693562644274,False
GENERATED,5,syn_n40_L3_5,palns_only,2031690,OK,40,3,palns,13.414553600014187,16974.612563333867,16974.612563333867,20.490272606793678,45.91166023538884,False
GENERATED,5,syn_n40_L3_5,palns_only,2039609,OK,40,3,palns,12.662764300010167,17054.698679734956,17054.698679734956,20.554751519418495,46.81814400488812,False
GENERATED,5,syn_n40_L3_5,palns_only,2047528,OK,40,3,palns,13.031384999980219,14028.223306474832,14028.223306474832,16.62151729356327,44.63100960863951,False
GENERATED,5,syn_n40_L3_5,palns_only,2055447,OK,40,3,palns,12.184969900001306,14585.026879803569,14585.026879803569,17.333233410503823,45.288623483591486,False
GENERATED,5,syn_n40_L3_5,palns_only,2063366,OK,40,3,palns,12.188293700048234,13916.46165296307,13916.46165296307,16.61159121619812,41.650521166127994,False
GENERATED,5,syn_n40_L3_5,palns_only,2071285,OK,40,3,palns,13.658116699953098,15718.323699210934,15718.323699210934,18.79156345513702,46.41860308166203,False
GENERATED,5,syn_n40_L3_5,hybrid_main,2079204,OK,40,3,hybrid,39.95841650001239,16329.307583008489,16181.353217684522,19.62589851874212,41.76940938936946,True
GENERATED,5,syn_n40_L3_5,hybrid_main,2087123,OK,40,3,hybrid,38.69724380003754,15880.123205115775,15819.600127904416,18.846000982342627,48.145696889927024,True
GENERATED,5,syn_n40_L3_5,hybrid_main,2095042,OK,40,3,hybrid,38.16941610001959,16916.268759696453,16830.745576878617,20.484484289777846,41.92521027272086,True
GENERATED,5,syn_n40_L3_5,hybrid_main,2102961,OK,40,3,hybrid,40.26951850001933,14149.00247307355,14105.203668296821,16.890379879219587,41.069107396632276,True
GENERATED,5,syn_n40_L3_5,hybrid_main,2110880,OK,40,3,hybrid,39.30135419999715,13939.71299968983,13907.076049458992,16.641267228248115,40.746446522083104,True
GENERATED,5,syn_n40_L3_5,hybrid_main,2118799,OK,40,3,hybrid,39.34516209998401,18128.568166580986,17978.87492047904,21.868230638405628,45.07719833356627,True
GENERATED,5,syn_n40_L3_5,hybrid_main,2126718,OK,40,3,hybrid,39.492984600015916,14063.713463655999,13961.057784335795,16.651648603853896,42.06632375558203,True
GENERATED,5,syn_n40_L3_5,hybrid_main,2134637,OK,40,3,hybrid,34.90849060000619,13982.894189576935,13927.572266688614,16.69329677360898,40.217133899482164,True
GENERATED,5,syn_n40_L3_5,hybrid_main,2142556,OK,40,3,hybrid,36.73129789996892,16796.655177811797,16748.600376634568,19.900558430850204,52.09090152848333,True
GENERATED,5,syn_n40_L3_5,hybrid_main,2150475,OK,40,3,hybrid,41.4874972999678,15131.440459363872,14990.423371365707,18.074712577633782,40.98254108972487,True
GENERATED,5,syn_n40_L3_5,abl_no_dro,2158394,OK,40,3,hybrid,38.302854000008665,12273.246818867454,12246.569683824593,14.525496529623718,38.64135104590873,True
GENERATED,5,syn_n40_L3_5,abl_no_dro,2166313,OK,40,3,hybrid,40.20041789999232,15116.717094090334,15061.359980968131,17.94321741001462,45.827054955919124,True
GENERATED,5,syn_n40_L3_5,abl_no_dro,2174232,OK,40,3,hybrid,37.52495799999451,16845.378808736787,16768.631941585732,20.20099724436729,46.22525738029326,True
GENERATED,5,syn_n40_L3_5,abl_no_dro,2182151,OK,40,3,hybrid,38.89887869998347,12646.746243986234,12569.64741821458,15.017033688898973,37.339204329724325,True
GENERATED,5,syn_n40_L3_5,abl_no_dro,2190070,OK,40,3,hybrid,38.9677182000014,13056.541693738922,12993.699263884278,15.519975314215161,38.67765080636882,True
GENERATED,5,syn_n40_L3_5,abl_no_dro,2197989,OK,40,3,hybrid,39.61232509999536,16728.90645589133,16683.046416238187,19.962642107295572,48.887566736185896,True
GENERATED,5,syn_n40_L3_5,abl_no_dro,2205908,OK,40,3,hybrid,39.279459599987604,13461.422922417729,13392.55431101345,16.067041229496873,38.350668254022736,True
GENERATED,5,syn_n40_L3_5,abl_no_dro,2213827,OK,40,3,hybrid,39.521268099953886,12793.678161929653,12725.668504117886,15.304456994277482,35.63787881170785,True
GENERATED,5,syn_n40_L3_5,abl_no_dro,2221746,OK,40,3,hybrid,36.53854029998183,12126.387725827957,12097.812318975753,14.393338233995795,37.223104099397304,True
GENERATED,5,syn_n40_L3_5,abl_no_dro,2229665,OK,40,3,hybrid,36.400215800036676,16190.902149177435,16147.598910699933,19.28631539759887,48.081781785736524,True
GENERATED,5,syn_n40_L3_5,abl_adjacent,2237584,OK,40,3,hybrid,41.25578740000492,17675.777371125267,15415.708646437799,18.80912665029129,37.396104534837946,True
GENERATED,5,syn_n40_L3_5,abl_adjacent,2245503,OK,40,3,hybrid,43.22096370003419,16552.69691141,14704.7131634271,17.924724154621003,36.033429927467054,True
GENERATED,5,syn_n40_L3_5,abl_adjacent,2253422,OK,40,3,hybrid,40.62157469999511,20462.044944313497,18155.70367649226,22.08005977616257,45.59025269629527,True
GENERATED,5,syn_n40_L3_5,abl_adjacent,2261341,OK,40,3,hybrid,40.976364100002684,17530.23468103882,15753.213170337314,19.438693704901294,33.54836833318124,True
GENERATED,5,syn_n40_L3_5,abl_adjacent,2269260,OK,40,3,hybrid,44.01032529998338,17090.376778417813,14466.601143365324,17.584795675911682,36.514411040901805,True
GENERATED,5,syn_n40_L3_5,abl_adjacent,2277179,OK,40,3,hybrid,43.497397700033616,20774.74551596663,19046.641925013068,23.086511955075203,49.478798820190526,True
GENERATED,5,syn_n40_L3_5,abl_adjacent,2285098,OK,40,3,hybrid,41.645264699996915,17386.76927665245,15219.038495075029,18.66307541694234,34.90662663909358,True
GENERATED,5,syn_n40_L3_5,abl_adjacent,2293017,OK,40,3,hybrid,44.060097399982624,17947.200434678907,16259.366347837471,20.022116034535678,35.507980626734636,True
GENERATED,5,syn_n40_L3_5,abl_adjacent,2300936,OK,40,3,hybrid,41.63661139999749,17572.840291870034,15327.282721115507,18.602039562730184,39.307229973367726,True
GENERATED,5,syn_n40_L3_5,abl_adjacent,2308855,OK,40,3,hybrid,41.878404499962926,17476.945523966355,15044.294751871013,18.34672765923282,36.692828784182794,True
GENERATED,5,syn_n40_L3_5,abl_no_cache,2316774,OK,40,3,hybrid,52.97063799999887,17418.010314924275,17346.397092527834,20.82333046518809,49.397121246764826,True
GENERATED,5,syn_n40_L3_5,abl_no_cache,2324693,OK,40,3,hybrid,53.11817410000367,13683.56315350017,13621.29123075206,16.221440844885773,41.57744563107796,True
GENERATED,5,syn_n40_L3_5,abl_no_cache,2332612,OK,40,3,hybrid,54.26886359998025,16476.4766919672,16367.345432290673,19.717706605313133,45.116156523023534,True
GENERATED,5,syn_n40_L3_5,abl_no_cache,2340531,OK,40,3,hybrid,53.6599084000336,13922.576907145169,13835.5120311076,16.622188870112993,39.11058224351021,True
GENERATED,5,syn_n40_L3_5,abl_no_cache,2348450,OK,40,3,hybrid,53.04962780000642,14200.4111530667,14161.99878059565,16.822700434659165,44.14209870289364,True
GENERATED,5,syn_n40_L3_5,abl_no_cache,2356369,OK,40,3,hybrid,54.597513300017454,17995.63956334102,17908.72587002639,21.61475523942736,48.50455544159618,True
GENERATED,5,syn_n40_L3_5,abl_no_cache,2364288,OK,40,3,hybrid,55.445752900035586,13934.867633769121,13836.687166849082,16.593442568358583,39.7601497308613,True
GENERATED,5,syn_n40_L3_5,abl_no_cache,2372207,OK,40,3,hybrid,53.06955870002275,18002.188493806967,17904.239490944667,21.63738238614175,47.89150575252448,True
GENERATED,5,syn_n40_L3_5,abl_no_cache,2380126,OK,40,3,hybrid,53.469578699965496,13631.837155651867,13548.729180851768,16.22619643421961,39.40233871963029,True
GENERATED,5,syn_n40_L3_5,abl_no_cache,2388045,OK,40,3,hybrid,49.82217570004286,17578.694963955146,17406.055897131,20.891196833991152,49.647379189646685,True
GENERATED,6,syn_n40_L3_6,palns_only,2395964,OK,40,3,palns,12.865327599982265,13434.839519846808,13434.839519846808,15.98174011764242,41.38669804614265,False
GENERATED,6,syn_n40_L3_6,palns_only,2403883,OK,40,3,palns,13.789183799992315,13475.02165291366,13475.02165291366,16.014944733455696,41.823231509196766,False
GENERATED,6,syn_n40_L3_6,palns_only,2411802,OK,40,3,palns,12.065500700031407,13542.550398053378,13542.550398053378,16.247235477843624,38.774965419161674,False
GENERATED,6,syn_n40_L3_6,palns_only,2419721,OK,40,3,palns,12.420016199990641,14979.296318034656,14979.296318034656,17.919202025501423,43.996994254531,False
