source_file,instance_index,instance_id,config,run_seed,status,n_tasks,L,mode,time_total,palns_obj,final_obj,ship_time,drone_time,intensify_ran
GENERATED,2,syn_n20_L2_2,abl_no_dro,1018058,OK,20,2,hybrid,7.770722399989609,10200.00962060288,10197.942091888937,12.550847494600102,22.42304202682454,True
GENERATED,2,syn_n20_L2_2,abl_no_dro,1025977,OK,20,2,hybrid,7.375473899999633,10262.575948529604,10262.57555918879,12.685106482586711,21.39273420710736,True
GENERATED,2,syn_n20_L2_2,abl_no_dro,1033896,OK,20,2,hybrid,7.401363600045443,10200.00962060288,10197.942091888937,12.550847494600102,22.42304202682454,True
GENERATED,2,syn_n20_L2_2,abl_no_dro,1041815,OK,20,2,hybrid,8.054080600035377,10262.575948529604,10262.575501853134,12.68511697328081,21.39250776835788,True
GENERATED,2,syn_n20_L2_2,abl_adjacent,1049734,OK,20,2,hybrid,13.331726900010835,12409.132713479221,11490.028248302599,14.191183812652927,24.18972539465431,True
GENERATED,2,syn_n20_L2_2,abl_adjacent,1057653,OK,20,2,hybrid,11.6973597999895,12549.708778708015,11641.763465671236,14.447462237237735,23.03333679265524,True
GENERATED,2,syn_n20_L2_2,abl_adjacent,1065572,OK,20,2,hybrid,11.243248199985828,12304.998168608487,11450.434822653879,14.127457508652977,24.424048318975554,True
GENERATED,2,syn_n20_L2_2,abl_adjacent,1073491,OK,20,2,hybrid,12.886521000007633,12281.642000178332,11492.527494585687,14.198974588641875,24.094187231550862,True
GENERATED,2,syn_n20_L2_2,abl_adjacent,1081410,OK,20,2,hybrid,13.206973800028209,12638.934961690695,11492.52682117686,14.198974813957214,24.094163163112807,True
GENERATED,2,syn_n20_L2_2,abl_adjacent,1089329,OK,20,2,hybrid,11.506666000001132,12450.989961365805,11641.763465671236,14.447462237237735,23.03333679265524,True
GENERATED,2,syn_n20_L2_2,abl_adjacent,1097248,OK,20,2,hybrid,12.67165340000065,12372.013574564699,11694.16885615894,14.536772432131986,22.616843773141433,True
GENERATED,2,syn_n20_L2_2,abl_adjacent,1105167,OK,20,2,hybrid,13.441122899996117,12428.104750436,11641.763402429504,14.447461771693591,23.033344961694574,True
GENERATED,2,syn_n20_L2_2,abl_adjacent,1113086,OK,20,2,hybrid,12.66174209996825,12507.090474808003,11450.434817391599,14.127457853194146,24.424040785599722,True
GENERATED,2,syn_n20_L2_2,abl_adjacent,1121005,OK,20,2,hybrid,12.473220400046557,12599.572773194019,11641.763445019162,14.447462331213725,23.033334188824767,True
GENERATED,2,syn_n20_L2_2,abl_no_cache,1128924,OK,20,2,hybrid,20.265635999967344,11378.333266966723,11263.30326359476,13.875397151441861,24.478725714667533,True
GENERATED,2,syn_n20_L2_2,abl_no_cache,1136843,OK,20,2,hybrid,20.715161699976306,11382.053896074238,11331.899521232179,13.956457332443915,24.701614911406907,True
GENERATED,2,syn_n20_L2_2,abl_no_cache,1144762,OK,20,2,hybrid,20.107820499979425,11382.053896074238,11377.425541512723,14.02627442710914,24.506277748024743,True
GENERATED,2,syn_n20_L2_2,abl_no_cache,1152681,OK,20,2,hybrid,20.390061800018884,11399.135285969925,11367.199535104213,13.921678857467578,26.455439771529377,True
GENERATED,2,syn_n20_L2_2,abl_no_cache,1160600,OK,20,2,hybrid,20.4757205999922,11382.053896074238,11377.425472648489,14.026274693521897,24.50627007163043,True
GENERATED,2,syn_n20_L2_2,abl_no_cache,1168519,OK,20,2,hybrid,20.683929999999236,11382.053896074238,11377.425541512723,14.02627442710914,24.506277748024743,True
GENERATED,2,syn_n20_L2_2,abl_no_cache,1176438,OK,20,2,hybrid,20.80942430003779,11378.332990512208,11377.425472648489,14.026274693521897,24.50627007163043,True
GENERATED,2,syn_n20_L2_2,abl_no_cache,1184357,OK,20,2,hybrid,20.421287500008475,11380.877321117792,11238.02347158093,13.81587187663713,25.031987545802277,True
